n_inf,n_sub,d_true_um,abs_x,angle_deg,pol,resolution_cm,snr,F_line,Re_eff,median_absq,p95_absq,max_absq,F_cav_from_median_absq,d_fit_um,rel_bias,d_fit_nz_um,rel_bias_nz,dn_nz,mse
1.8,1.4,4.0,0.5,10.0,p,0.0,200.0,2.2500170367360757,0.27191602843791274,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000303390203227,7.584755080669581e-05,4.002372654949003,0.0005931637372507126,-0.0009242645903214889,1.7197622978849774e-06
1.8,1.4,4.0,0.5,10.0,p,0.0,50.0,2.3560214772860966,0.2863983223362274,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000608359488181,0.00015208987204529123,4.003202148982319,0.0008005372455797133,-0.0011589592068326404,4.645449965823195e-06
1.8,1.4,4.0,0.5,10.0,p,1.0,,2.250828114155654,0.2720282362372501,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000318758596578,7.96896491443988e-05,4.001553323731178,0.0003883309327945561,-0.0005594587728893534,1.5665916724636858e-06
1.8,1.4,4.0,0.5,10.0,p,1.0,200.0,2.2588615490356054,0.27313846127380065,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000350079075954,8.751976898846436e-05,4.00232162429249,0.0005804060731224858,-0.0008811128534999339,1.6926141541547262e-06
1.8,1.4,4.0,0.5,10.0,p,1.0,50.0,2.318484034696125,0.28131236421357314,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000485880922417,0.00012147023060427031,4.00383278464069,0.0009581961601725641,-0.0014864151798931549,4.178465565898638e-06
1.8,1.4,4.0,0.5,10.0,p,2.0,,2.1789978991932197,0.2620089291382696,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000399155253174,9.978881329342215e-05,4.001564561647697,0.00039114041192434,-0.0005284408839489369,1.7049802287620404e-06
1.8,1.4,4.0,0.5,10.0,p,2.0,200.0,2.161538033649857,0.2595487561367568,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000411227116655,0.00010280677916374437,4.002051532083509,0.0005128830208771529,-0.0007356735799269402,1.8401774880146639e-06
1.8,1.4,4.0,0.5,10.0,p,2.0,50.0,2.2123607044861475,0.2666831069286959,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000559428783889,0.00013985719597231494,3.9957700427461775,0.0010574893134556174,0.002082192883894627,4.3039527637348075e-06
1.8,1.4,4.0,0.5,10.0,p,4.0,,2.1107526601044024,0.25233900764914363,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000556120197827,0.00013903004945681197,4.0015949591071855,0.0003987397767963863,-0.00047166549940142827,2.4338482903811868e-06
1.8,1.4,4.0,0.5,10.0,p,4.0,200.0,2.10669189662691,0.25175910491056686,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000529546917032,0.00013238672925797168,4.001344678151319,0.00033616953782966696,-0.00037381454248108727,2.633057438162954e-06
1.8,1.4,4.0,0.5,10.0,p,4.0,50.0,2.1053742898688337,0.25157083480525927,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000560497039757,0.00014012425993925604,4.000758671157167,0.00018966778929185857,-0.00010575604783465023,5.272615590450767e-06
1.8,1.4,4.0,0.5,10.0,p,8.0,,2.096108318621671,0.25024535596970815,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.0008195436020095,0.00020488590050238287,4.001691635011582,0.0004229087528955233,-0.00039678914726446303,3.56189926001627e-06
1.8,1.4,4.0,0.5,10.0,p,8.0,200.0,2.1092738292171,0.25212787921014146,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000822461654471,0.00020561541361785451,4.0023593048515345,0.0005898262128836151,-0.0006888939929730338,3.718609598454835e-06
1.8,1.4,4.0,0.5,10.0,p,8.0,50.0,2.268804284881836,0.27450964503401704,0.030909892456920687,0.0329670551726476,0.03308213185075621,0.5699469834248021,4.000710215671969,0.00017755391799223474,4.003920191753112,0.0009800479382779947,-0.0014152795857373462,6.364259322366531e-06
1.8,1.4,4.0,0.5,15.0,avg,0.0,,2.306882668679412,0.27973104204386046,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000388959398547,9.723984963683208e-05,4.001174554624454,0.0002936386561134263,-0.00034284956657784676,1.7868586263222323e-06
1.8,1.4,4.0,0.5,15.0,avg,0.0,200.0,2.3118658085678003,0.2804108128348544,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000318347194033,7.958679850816885e-05,4.002159819827269,0.0005399549568172457,-0.000798721706065648,1.953998615948909e-06
1.8,1.4,4.0,0.5,15.0,avg,0.0,50.0,2.3766988542445144,0.2891798504014869,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.00025575705211,6.393926302750153e-05,4.002747558554708,0.000686889638676913,-0.001080067791509958,4.680911928739589e-06
1.8,1.4,4.0,0.5,15.0,avg,1.0,,2.306882668679412,0.27973104204386046,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.0003889593981,9.72398495249216e-05,4.00117455672439,0.00029363918109748255,-0.000342850474664863,1.7868586263222262e-06
1.8,1.4,4.0,0.5,15.0,avg,1.0,200.0,2.29627349509371,0.2782810733046623,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.0004326461172095,0.00010816152930237521,4.001722675370379,0.00043066884259479465,-0.0005602432870024922,1.9659847717985355e-06
1.8,1.4,4.0,0.5,15.0,avg,1.0,50.0,2.329844529901536,0.2828565391320276,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000357681877726,8.94204694315004e-05,4.011752514729811,0.002938128682452801,-0.004925729278207199,4.756524676794077e-06
1.8,1.4,4.0,0.5,15.0,avg,2.0,,2.214147058892425,0.26693237805702824,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000469233741042,0.00011730843526058798,4.00114120381493,0.0002853009537324702,-0.00029231328523979076,1.982157674520325e-06
1.8,1.4,4.0,0.5,15.0,avg,2.0,200.0,2.240958883789579,0.27066143775623014,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000474837307125,0.00011870932678115231,4.002760961522713,0.0006902403806783308,-0.000991440344026712,2.1658201423174956e-06
1.8,1.4,4.0,0.5,15.0,avg,2.0,50.0,2.226934813463887,0.26871381757794865,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000664856793174,0.0001662141982934351,4.0057054461197685,0.0014263615299421328,-0.0021785533928644113,5.028839421939469e-06
1.8,1.4,4.0,0.5,15.0,avg,4.0,,2.1566616519312274,0.25885994607833085,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000625851563518,0.00015646289087944965,4.001081643408185,0.00027041085204615456,-0.00019613239770282148,2.9433217179184854e-06
1.8,1.4,4.0,0.5,15.0,avg,4.0,200.0,2.1616135321594263,0.25955941478910904,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000603488923461,0.00015087223086518442,4.000117560707979,2.93901769947702e-05,0.00021202019253395457,3.154400181858865e-06
1.8,1.4,4.0,0.5,15.0,avg,4.0,50.0,2.4252705282908917,0.2956573230517676,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000826857053585,0.000206714263396357,4.002721361170193,0.0006803402925481539,-0.0008170193607921103,5.568716218796871e-06
1.8,1.4,4.0,0.5,15.0,avg,8.0,,2.139064276105569,0.25636808697573116,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000887876095576,0.00022196902389404194,4.001011078424625,0.00025276960615627786,-4.795924264924465e-05,4.441675557469131e-06
1.8,1.4,4.0,0.5,15.0,avg,8.0,200.0,2.1434751884563714,0.2569935920639205,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000891911145782,0.0002229777864455329,4.002535400348203,0.0006338500870508579,-0.0007051040378020275,4.652111995856512e-06
1.8,1.4,4.0,0.5,15.0,avg,8.0,50.0,2.3276374509491036,0.28255687676818647,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000830787665596,0.0002076969163991027,3.999357386050227,0.0001606534874432075,0.0006441894441753764,7.455649726721102e-06
1.8,1.4,4.0,0.5,15.0,s,0.0,,2.3019732088333598,0.27906052111241536,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000412674221591,0.00010316855539782566,4.001163353942943,0.0002908384857358559,-0.00032791981632277444,2.260218789178828e-06
1.8,1.4,4.0,0.5,15.0,s,0.0,200.0,2.3054972818681816,0.2795419100980921,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000390710031207,9.76775078016523e-05,4.001626405079958,0.00040660126998948165,-0.0005377407800300437,2.477261665900205e-06
1.8,1.4,4.0,0.5,15.0,s,0.0,50.0,2.325765593673603,0.2823026019606304,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000519656227287,0.00012991405682183377,4.009916895722279,0.0024792239305697628,-0.004059197349503989,5.557371118228873e-06
1.8,1.4,4.0,0.5,15.0,s,1.0,,2.3019732088333598,0.27906052111241536,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.00041267422231,0.00010316855557745974,4.001163353287593,0.00029083832189824577,-0.00032791953300954376,2.2602187891788386e-06
1.8,1.4,4.0,0.5,15.0,s,1.0,200.0,2.3018791453076757,0.2790476664101239,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000416890682133,0.0001042226705332272,4.001796657742169,0.0004491644355422153,-0.0005991711169231923,2.4608611414766788e-06
1.8,1.4,4.0,0.5,15.0,s,1.0,50.0,2.364177177025779,0.28749713661568826,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000392372004515,9.809300112872954e-05,4.001344866113139,0.00033621652828474957,-0.00041205098540921214,5.6357677356128816e-06
1.8,1.4,4.0,0.5,15.0,s,2.0,,2.2083734854708976,0.2661263551299173,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000493738849678,0.0001234347124194901,4.0011440910147975,0.0002860227536993776,-0.00028312115733042354,2.4839772824864144e-06
1.8,1.4,4.0,0.5,15.0,s,2.0,200.0,2.2001625059897916,0.26497822403917387,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000448163376265,0.00011204084406624126,4.0006963291876545,0.00017408229691362465,-0.00011030591392362719,2.727354418391262e-06
1.8,1.4,4.0,0.5,15.0,s,2.0,50.0,2.281422398169045,0.2762451387106979,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000540595078868,0.0001351487697169862,4.006439594213264,0.0016098985533159471,-0.002560709882665206,5.870917107567728e-06
1.8,1.4,4.0,0.5,15.0,s,4.0,,2.1512569849129886,0.25809564704247356,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000651899512831,0.00016297487820771117,4.00111124685594,0.00027781171398499893,-0.0001978022193563708,3.587212049653052e-06
1.8,1.4,4.0,0.5,15.0,s,4.0,200.0,2.1567633775152726,0.2588743228383209,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.0006753584651324,0.00016883961628311184,4.002271973606605,0.0005679934016511456,-0.000687212733637966,3.819786992758841e-06
1.8,1.4,4.0,0.5,15.0,s,4.0,50.0,2.386953719771272,0.29055403016734416,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000439412956298,0.00010985323907442002,3.994564234429701,0.0013589413925747529,0.0025430758913316974,7.125111737843052e-06
1.8,1.4,4.0,0.5,15.0,s,8.0,,2.1335761546518035,0.25558898522296103,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000916506252928,0.00022912656323192948,4.001081305325594,0.00027032633139856266,-6.60409706371913e-05,5.307566899489916e-06
1.8,1.4,4.0,0.5,15.0,s,8.0,200.0,2.1277968254271062,0.25476754017813,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.000900721365045,0.00022518034126117747,4.002855025975725,0.0007137564939312391,-0.000839510795189914,5.622739588721486e-06
1.8,1.4,4.0,0.5,15.0,s,8.0,50.0,2.330497190177197,0.28294512200574595,0.034037117124303407,0.03626408235294807,0.03638855768511535,0.6000201266193114,4.001044860955087,0.00026121523877176145,4.00066506734646,0.00016626683661491448,0.00016345290285839595,8.814578293839892e-06
1.8,1.4,4.0,0.5,15.0,p,0.0,,2.3124593755213794,0.2804917291145456,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000362199012743,9.054975318578684e-05,4.001176291201508,0.0002940728003770765,-0.00035498544326609423,1.3691975042675387e-06
1.8,1.4,4.0,0.5,15.0,p,0.0,200.0,2.326862989055545,0.28245168724297104,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000391896320948,9.797408023692888e-05,4.000603121900508,0.00015078047512706583,-9.38005894640718e-05,1.5265928261267832e-06
1.8,1.4,4.0,0.5,15.0,p,0.0,50.0,2.3849587986406093,0.2902869815504603,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000138525846318,3.463146157955954e-05,3.998072525278442,0.0004818686803894634,0.0008936642439645966,3.7433969225490494e-06
1.8,1.4,4.0,0.5,15.0,p,1.0,,2.3124593755213794,0.2804917291145456,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000362199013096,9.054975327393855e-05,4.001176284817702,0.0002940712044254834,-0.0003549826812090994,1.3691975042675324e-06
1.8,1.4,4.0,0.5,15.0,p,1.0,200.0,2.3027632987252815,0.27916848312746545,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000259299483086,6.482487077152932e-05,3.9999197923494663,2.00519126334342e-05,0.00014519310903437637,1.5251991322935599e-06
1.8,1.4,4.0,0.5,15.0,p,1.0,50.0,2.3383877748229427,0.2840149593424224,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000266534525372,6.663363134307154e-05,4.004219578607102,0.0010548946517754398,-0.0017063244742091589,3.934225012269801e-06
1.8,1.4,4.0,0.5,15.0,p,2.0,,2.2206895404614295,0.2678444551767569,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000441583420775,0.00011039585519379003,4.0011271061405855,0.000281776535146383,-0.0002980003629848205,1.5379834059152623e-06
1.8,1.4,4.0,0.5,15.0,p,2.0,200.0,2.216044443756245,0.2671970307181345,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000446825191872,0.00011170629796808385,4.000937176479213,0.00023429411980324666,-0.00021292265535461622,1.68117365307799e-06
1.8,1.4,4.0,0.5,15.0,p,2.0,50.0,2.291110722850881,0.27757413086992927,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.0004454684931705,0.00011136712329262721,4.000671711366281,0.00016792784157027008,-9.444836062555207e-05,4.140628031923564e-06
1.8,1.4,4.0,0.5,15.0,p,4.0,,2.1627921977072897,0.2597257921310735,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.00059646388613,0.00014911597153255407,4.001037547248318,0.00025938681207948733,-0.00018962375427838778,2.3669315449590363e-06
1.8,1.4,4.0,0.5,15.0,p,4.0,200.0,2.1655875076511455,0.26012019696233213,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000557108148625,0.00013927703715621575,4.001975740996704,0.0004939352491759585,-0.000612947090487975,2.505943522329451e-06
1.8,1.4,4.0,0.5,15.0,p,4.0,50.0,2.410127027481434,0.2936463134311402,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000716819117117,0.0001792047792792406,3.9938979103910213,0.0015255224022446834,0.0029599333351033427,4.610822239767191e-06
1.8,1.4,4.0,0.5,15.0,p,8.0,,2.145321216519837,0.257255195827545,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000855580789126,0.00021389519728143291,4.000921337551184,0.00023033438779607174,-2.3009923888641355e-05,3.6586925207474348e-06
1.8,1.4,4.0,0.5,15.0,p,8.0,200.0,2.1761054420850083,0.261602031093622,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.000794401072711,0.000198600268177751,4.002085427045845,0.0005213567614612558,-0.0005538143969761801,3.887913823375756e-06
1.8,1.4,4.0,0.5,15.0,p,8.0,50.0,2.3631978101269544,0.28736530424747214,0.02973004038028082,0.031722809333343156,0.03183432052984315,0.5582838139812483,4.0011534398403406,0.0002883599600851383,3.9973687362630614,0.0006578159342346401,0.001640633297453059,6.083166252594025e-06
1.8,1.4,4.0,1.0,10.0,avg,0.0,,2.2487889970827175,0.27174609575351427,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.000328142674957,8.203566873921098e-05,4.001595616545455,0.00039890413636367583,-0.0005743778171948633,1.7493259041380736e-06
1.8,1.4,4.0,1.0,10.0,avg,0.0,200.0,2.2472327784166026,0.27153068034164646,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.00031179260037,7.794815009254386e-05,4.001988375619541,0.0004970939048851708,-0.000752279971980235,1.9413678208335333e-06
1.8,1.4,4.0,1.0,10.0,avg,0.0,50.0,2.2904548658150725,0.2774842611454167,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.000819460559376,0.00020486513984407928,3.999095129705361,0.00022621757365970385,0.0007373362073793505,4.865243720686814e-06
1.8,1.4,4.0,1.0,10.0,avg,1.0,,2.2487889970827175,0.27174609575351427,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.000328142676089,8.203566902231785e-05,4.001595616957279,0.00039890423931976393,-0.0005743779973855914,1.7493259041380722e-06
1.8,1.4,4.0,1.0,10.0,avg,1.0,200.0,2.2452206737689484,0.27125204381074675,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.000308968484542,7.724212113546791e-05,4.000642467054988,0.00016061676374690137,-0.00016615417059653452,1.9416089331895997e-06
1.8,1.4,4.0,1.0,10.0,avg,1.0,50.0,2.2825000455591375,0.2763931167211026,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.000401866805598,0.0001004667013995153,3.9987386947288375,0.0003153263177906318,0.0007158891590990279,4.700587416434107e-06
1.8,1.4,4.0,1.0,10.0,avg,2.0,,2.1765778806150142,0.26166850965931093,0.032783301211757175,0.03495725972854596,0.035078823960337416,0.5881016918475244,4.000409003146238,0.00010225078655956565,4.001616249225753,0.000404062306438302,-0.0005472608377025863,1.8964238569160277e-06
