,d_um,t_ox_nm,log10N_e,mu_e,log10N_s,mu_s,B_damp,B_width
d_um,1.0,-0.076,0.509,0.101,0.276,-0.003,0.101,-0.382
t_ox_nm,-0.076,1.0,0.252,-0.312,0.202,-0.41,-0.177,-0.139
log10N_e,0.509,0.252,1.0,-0.164,0.544,-0.411,0.432,0.196
mu_e,0.101,-0.312,-0.164,1.0,-0.543,0.889,0.281,0.361
log10N_s,0.276,0.202,0.544,-0.543,1.0,-0.806,-0.221,-0.438
mu_s,-0.003,-0.41,-0.411,0.889,-0.806,1.0,0.244,0.363
B_damp,0.101,-0.177,0.432,0.281,-0.221,0.244,1.0,0.816
B_width,-0.382,-0.139,0.196,0.361,-0.438,0.363,0.816,1.0
