dataset,angle_deg,d_two_beam_um,d_airy_um,diff_nm,rms_two_beam,rms_airy,fringe_median_absq,fringe_max_absq
SiC_10deg,10.0,7.4463,7.4449,1.41,0.00732,0.00722,0.0019,0.0069
SiC_15deg,15.0,7.3948,7.3915,3.21,0.01505,0.01513,0.0027,0.0085
